location_id,prediction_period_start,admin1_region,admin2_zone,admin3_woreda,high_surveillance_risk_probability,poor_stool_adequacy_probability,delayed_reporting_probability,under_vaccinated_afp_probability,suspected_poliovirus_probability,alert_level,alert_role,source_zone_high_risk_count,source_zone_max_high_surveillance_risk_probability,source_zone_top_source_woreda,alert_reasons,recommended_action
ETH:ET040617,2026-01-01,Oromia,North Shewa (OR),Aleltu,0.07980209,0.15875658,0.5300464,0.28990963,0.14488839,critical,high_risk_source,3,0.07980209,Aleltu,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal; high next-month surveillance-risk probability,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:a174dd07a002,2026-01-01,Oromia,Arsi,DEKSIS,0.072929256,0.21834534,0.3493359,0.19413649,0.20127454,critical,high_risk_source,10,0.19695368,DEKSIS,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal; high next-month surveillance-risk probability,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:ET041701,2026-01-01,Oromia,West Arsi,Siraro,0.06952575,0.22076765,0.78721595,0.3918674,0.131911,critical,high_risk_source,2,0.06952575,Siraro,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal; high next-month surveillance-risk probability,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:c5f93dad7829,2026-01-01,Dire Dawa,Dire Dawa,Dire Dawa Operational Woreda,0.06860261,0.2367705,0.3476029,0.15455842,0.18499425,critical,high_risk_source,1,0.06860261,Dire Dawa Operational Woreda,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal; high next-month surveillance-risk probability,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:ET040502,2026-01-01,Oromia,West Shewa,Jeldu,0.06720228,0.14916404,0.52464056,0.20008525,0.164269,critical,high_risk_source,5,0.09434032,Jeldu,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal; high next-month surveillance-risk probability,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:2fc744ae5da1,2026-01-01,Oromia,Borena,Moyalee,0.06703287,0.1964312,0.38764092,0.25148615,0.17853267,critical,high_risk_source,3,0.06703287,Moyalee,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal; high next-month surveillance-risk probability,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:ET040590,2026-01-01,Oromia,West Shewa,Ejersa Lafo,0.06549671,0.13526395,0.47743547,0.11941963,0.11451475,critical,high_risk_source,5,0.09434032,Jeldu,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal; high next-month surveillance-risk probability,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:2434deed3a8d,2026-01-01,Oromia,East Shewa,Adami Tulu Jido Kombolcha,0.04479157,0.10816561,0.40158123,0.2243223,0.17894937,critical,high_risk_source,2,0.04479157,Adami Tulu Jido Kombolcha,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:ET080108,2026-01-01,South Ethiopia,Wolayita,Boloso Bombe,0.036849186,0.18677403,0.822769,0.27042454,0.1608587,critical,high_risk_source,5,0.036849186,Boloso Bombe,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:e8058ffc10ff,2026-01-01,South Ethiopia,Gedeo,Chorso,0.025382634,0.08484962,0.513398,0.16377608,0.10386126,critical,high_risk_source,2,0.025382634,Chorso,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:0df65e65f5a1,2026-01-01,South West Ethiopia,West Omo,Menit goldia WorHO,0.02421668,0.16104357,0.70075446,0.42375773,0.093995236,critical,high_risk_source,1,0.02421668,Menit goldia WorHO,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:532f4173cd1b,2026-01-01,Oromia,East Borena,Madawalabu,0.022674123,0.20045161,0.34071457,0.25361192,0.11060563,critical,high_risk_source,4,0.022674123,Madawalabu,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:7420d2c9e571,2026-01-01,Amhara,Central Gondar,Lay Armachiho,0.019717451,0.22640292,0.34666032,0.1777185,0.20933898,critical,high_risk_source,2,0.019717451,Lay Armachiho,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:86ad31c200fc,2026-01-01,Amhara,South Wolo,Kallu,0.016548814,0.32906625,0.56748736,0.33773422,0.058133163,critical,high_risk_source,4,0.016548814,Kallu,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:7722fe2493d2,2026-01-01,Amhara,North Shewa (AM),Angolela,0.014617951,0.14357126,0.4981284,0.17873906,0.3414704,critical,high_risk_source,9,0.014617951,Angolela,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:f9a36c3ca851,2026-01-01,Amhara,Wag Himra,Dehana,0.014237308,0.19416045,0.8730607,0.17493579,0.08109563,critical,high_risk_source,1,0.014237308,Dehana,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; lab result delay risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; follow up lab reporting pipeline; prioritize immunization outreach
ETH:e2959373a295,2026-01-01,Central Ethiopia,Guraghie,Emidibr town,0.013141292,0.3948217,0.49362314,0.2514708,0.52893585,critical,high_risk_source,2,0.013141292,Emidibr town,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:8e95ac61ec07,2026-01-01,South Ethiopia,Gamo,Arbaminch Zuria,0.011783849,0.123114526,0.48755807,0.36543477,0.4093015,critical,high_risk_source,3,0.011783849,Arbaminch Zuria,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:c9b183d534ce,2026-01-01,Oromia,West Hararge,Anchar WorHO,0.010975016,0.11026475,0.60552084,0.33502606,0.1632777,critical,high_risk_source,4,0.010975016,Anchar WorHO,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:75b508cfcb66,2026-01-01,Oromia,Shagar City,Melka Nonno,0.009797125,0.38597447,0.47354802,0.2129153,0.5069516,critical,high_risk_source,8,0.013875342,Melka Nonno,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:a51b04736859,2026-01-01,Oromia,Bale,Dellomennaa,0.009682106,0.3134264,0.4090769,0.117036276,0.38181296,critical,high_risk_source,2,0.009682106,Dellomennaa,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:20df926bd5f2,2026-01-01,Oromia,East Shewa,Boora,0.009219897,0.47933808,0.6959513,0.2169158,0.27218828,critical,high_risk_source,2,0.04479157,Adami Tulu Jido Kombolcha,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:ET070308,2026-01-01,Central Ethiopia,Kembata,Durame Town,0.00889822,0.30520576,0.837978,0.21689932,0.115780465,critical,high_risk_source,1,0.00889822,Durame Town,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; lab result delay risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; follow up lab reporting pipeline; prioritize immunization outreach
ETH:fb4ceb0edfab,2026-01-01,Amhara,East Gojjam,Mesikan,0.008097793,0.29045102,0.42716238,0.2076162,0.057073772,critical,high_risk_source,7,0.008097793,Mesikan,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:828c2bb1e812,2026-01-01,Oromia,Shagar City,Mana Abuchu,0.008048595,0.28806394,0.862401,0.3165319,0.054900043,critical,high_risk_source,8,0.013875342,Melka Nonno,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:9bc8d150cb75,2026-01-01,Amhara,North Shewa (AM),Tarmaber,0.006370307,0.054273635,0.29551336,0.23249981,0.30181527,critical,high_risk_source,9,0.014617951,Angolela,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:eea7d35c3c10,2026-01-01,Amhara,South Wolo,Dessiezuria,0.005544761,0.39026916,0.38187206,0.19598106,0.07028042,critical,high_risk_source,4,0.016548814,Kallu,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:ET041216,2026-01-01,Oromia,Borena,Miyo,0.004298133,0.2473905,0.56390554,0.2091254,0.14776011,critical,high_risk_source,3,0.06703287,Moyalee,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:06e297f92446,2026-01-01,Oromia,East Bale,Dawa Kechan,0.004042047,0.10232249,0.33743042,0.25542924,0.050713982,critical,high_risk_source,1,0.004042047,Dawa Kechan,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:7f228152a195,2026-01-01,Tigray,Central Tigray,Rama,0.0037629856,0.6104733,0.6683214,0.30062112,0.07934652,critical,high_risk_source,3,0.0037629856,Rama,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:703a9213f112,2026-01-01,Amhara,South Gonder,Libo kemkem,0.003749955,0.3838518,0.44166005,0.24567136,0.54685134,critical,high_risk_source,6,0.003749955,Libo kemkem,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:c760ee4d3e50,2026-01-01,South Ethiopia,Wolayita,Sodo Zuriya,0.003749955,0.18914919,0.44449636,0.3938205,0.29172537,critical,high_risk_source,5,0.036849186,Boloso Bombe,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
